gene_name	gene_type
HLA-F	protein_coding
HLA-V	transcribed_unprocessed_pseudogene
HLA-G	protein_coding
HLA-H	unprocessed_pseudogene
HLA-T	unprocessed_pseudogene
HLA-K	unprocessed_pseudogene
HLA-A	protein_coding
HLA-W	unprocessed_pseudogene
HLA-J	transcribed_unprocessed_pseudogene
HLA-L	transcribed_unprocessed_pseudogene
HLA-E	protein_coding
HLA-C	protein_coding
HLA-B	protein_coding
HLA-DRA	protein_coding
HLA-DRB9	unprocessed_pseudogene
HLA-DRB5	protein_coding
HLA-DRB6	transcribed_unprocessed_pseudogene
HLA-DRB1	protein_coding
HLA-DQA1	protein_coding
HLA-DQB1	protein_coding
HLA-DOB	protein_coding
HLA-DMB	protein_coding
HLA-DMA	protein_coding
HLA-DOA	protein_coding
HLA-DPA1	protein_coding
HLA-DPB1	protein_coding
HLA-DPA2	unprocessed_pseudogene
HLA-DPB2	transcribed_unprocessed_pseudogene
HLA-DRB3	protein_coding
HLA-DRB2	unprocessed_pseudogene
HLA-DRB7	unprocessed_pseudogene
HLA-DRB4	protein_coding
HLA-DRB8	unprocessed_pseudogene
